title,url,date_range,start_date,end_date,image_url,categories,main_category,site_name,info,site_domain,site_type,scraped_date,detail_title,subtitle,detail_content,summary,venue,address,phone,price,detail_images,image_count,keywords,view_count
웰다잉을 위한 웰리빙,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2547?menuCd=NS_PRO_CAL,2025-06-14 ~ 2025-08-23,2025-06-14,2025-08-23,https://inmun360.culture.go.kr/b2bc/file/download/41588,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,02-415-3567,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2547', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
상상 너머의 세상 : SF 작품으로 만나는 미래 사회,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2476?menuCd=NS_PRO_CAL,2025-06-08 ~ 2025-08-23,2025-06-08,2025-08-23,https://inmun360.culture.go.kr/b2bc/file/download/40745,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,041-339-8225,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2476', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
숲에서 그리는 인문학(부제:나만의 숲이야기),https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2936?menuCd=NS_PRO_CAL,2025-07-25 ~ 2025-08-24,2025-07-25,2025-08-24,https://inmun360.culture.go.kr/b2bc/file/download/48243,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,031-775-6945,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2936', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"어른을 위한 아동청소년문학 탐구생활 – 동물, 이물, 기계, 그리고 어린이",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2606?menuCd=NS_PRO_CAL,2025-06-02 ~ 2025-08-25,2025-06-02,2025-08-25,https://inmun360.culture.go.kr/b2bc/file/download/43899,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,책과아이들 1층 구름빵,확인하기,010-2071-7704,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2606', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
(지혜학교) 도스토옙스키 함께 읽기: <가난한 사람들>에서 <카라마조프가의 형제들>까지,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2422?menuCd=NS_PRO_CAL,2025-06-02 ~ 2025-08-25,2025-06-02,2025-08-25,https://inmun360.culture.go.kr/b2bc/file/download/40119,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,02-3434-3333,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2422', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
AI 예술의 미래 : 창작의 경계를 넘다,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2765?menuCd=NS_PRO_CAL,2025-07-01 ~ 2025-08-26,2025-07-01,2025-08-26,https://inmun360.culture.go.kr/b2bc/file/download/46311,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,02-3461-3007,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2765', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"세계 그림책 여행, 그림책 인문학",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2756?menuCd=NS_PRO_CAL,2025-06-17 ~ 2025-08-26,2025-06-17,2025-08-26,https://inmun360.culture.go.kr/b2bc/file/download/50843,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,031-5191-1329,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2756', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
예술의 레이어: 미술로 시작하는 예술 감상법,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2607?menuCd=NS_PRO_CAL,2025-06-10 ~ 2025-08-26,2025-06-10,2025-08-26,https://inmun360.culture.go.kr/b2bc/file/download/42336,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,02-3399-1202,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2607', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
차 한 잔으로 펼치는 인문학: 오늘은 차(茶)고 내일은 따뜻하겠지,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2521?menuCd=NS_PRO_CAL,2025-06-10 ~ 2025-08-26,2025-06-10,2025-08-26,https://inmun360.culture.go.kr/b2bc/file/download/41316,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,02-402-3003,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2521', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"이미지로 읽는 문학, 텍스트를 담은 예술",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2425?menuCd=NS_PRO_CAL,2025-05-27 ~ 2025-08-26,2025-05-27,2025-08-26,https://inmun360.culture.go.kr/b2bc/file/download/40285,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,070-8895-5337,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2425', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"[수원시 매여울도서관] 동아시아, 영화로 풀어보는 역사와 문화의 코드",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2880?menuCd=NS_PRO_CAL,2025-06-11 ~ 2025-08-27,2025-06-11,2025-08-27,https://inmun360.culture.go.kr/b2bc/file/download/49563,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,031-228-3563,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2880', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
SF 인사이트(미래사회와 인공지능에 SF적 상상을 더하다),https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2803?menuCd=NS_PRO_CAL,2025-07-02 ~ 2025-08-27,2025-07-02,2025-08-27,https://inmun360.culture.go.kr/b2bc/file/download/45574,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2803', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"2025년 지혜학교 '럭셔리인문학:예술,시대,그리고 브랜드",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2662?menuCd=NS_PRO_CAL,2025-06-11 ~ 2025-08-27,2025-06-11,2025-08-27,https://inmun360.culture.go.kr/b2bc/file/download/42759,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,02-809-8242,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2662', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
미술로 알아보는 1차 산업혁명에서 AI까지,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2571?menuCd=NS_PRO_CAL,2025-06-04 ~ 2025-08-27,2025-06-04,2025-08-27,https://inmun360.culture.go.kr/b2bc/file/download/41582,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,053-980-2607,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2571', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
나를 읽고 삶을 기록하다,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2424?menuCd=NS_PRO_CAL,2025-06-04 ~ 2025-08-27,2025-06-04,2025-08-27,https://inmun360.culture.go.kr/b2bc/file/download/40368,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,070-8895-5337,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2424', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"제주를 지킨 여성, 신화로 만나다",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2407?menuCd=NS_PRO_CAL,2025-06-11 ~ 2025-08-27,2025-06-11,2025-08-27,https://inmun360.culture.go.kr/b2bc/file/download/40799,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,064-749-6682,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2407', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
고전에서 배우는 삶의 지혜(고전에서 길을 찾다),https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2727?menuCd=NS_PRO_CAL,2025-05-22 ~ 2025-08-28,2025-05-22,2025-08-28,https://inmun360.culture.go.kr/b2bc/file/download/43915,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,031-5182-1108,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2727', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
[2025 지혜학교] 영화와 문학에서 배우는 세계사,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2568?menuCd=NS_PRO_CAL,2025-06-12 ~ 2025-08-28,2025-06-12,2025-08-28,https://inmun360.culture.go.kr/b2bc/file/download/41645,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,02-3153-5800,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2568', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
<그림책 인문학> 골목길에서 소리가 난다. (골목길 추억따라 펼쳐보는 우리들의 블루스),https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2554?menuCd=NS_PRO_CAL,2025-06-05 ~ 2025-08-28,2025-06-05,2025-08-28,https://inmun360.culture.go.kr/b2bc/file/download/41804,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,054-780-1910,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2554', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"한 줄의 지혜, 한 권의 인생: 공감과 성찰의 12주",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2540?menuCd=NS_PRO_CAL,2025-06-17 ~ 2025-08-28,2025-06-17,2025-08-28,https://inmun360.culture.go.kr/b2bc/file/download/42311,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,064-728-1503,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2540', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
대중문화로 만나는 한국의 전통문화,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2487?menuCd=NS_PRO_CAL,2025-05-29 ~ 2025-08-28,2025-05-29,2025-08-28,https://inmun360.culture.go.kr/b2bc/file/download/40837,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,02-432-4123,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2487', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"미술, 내 삶에 담아내는 이해와 감상 - 예술 가치와 비평",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2471?menuCd=NS_PRO_CAL,2025-06-05 ~ 2025-08-28,2025-06-05,2025-08-28,https://inmun360.culture.go.kr/b2bc/file/download/41250,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:10,인문네트워크,,,,신청/정원(명),확인하기,02-2230-2901,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2471', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
